MonthNumeric,MonthFactor,Year,SilveradoSales,CPI.All,CPI.Energy,Unemployment,SilveradoQueries
12,Dec,2010,42518,220.472,227.13,9.3,132
1,Jan,2011,28172,221.187,229.258,9.1,91
2,Feb,2011,31728,221.898,232.068,9,95
3,Mar,2011,32555,223.046,240.079,9,141
4,Apr,2011,29342,224.093,247.977,9.1,109
5,May,2011,28409,224.806,250.744,9,62
6,Jun,2011,32579,224.806,245.534,9.1,93
7,Jul,2011,33121,225.395,246.187,9,85
8,Aug,2011,36832,226.106,246.88,9,92
9,Sep,2011,43698,226.597,248.55,9,170
10,Oct,2011,36656,226.75,246.655,8.8,141
11,Nov,2011,34251,227.169,247.64,8.6,59
12,Dec,2011,47787,227.223,243.353,8.5,93
1,Jan,2012,26850,227.842,244.876,8.3,129
2,Feb,2012,64594,228.329,248.898,8.3,180
3,Mar,2012,36491,228.807,249.742,8.2,134
4,Apr,2012,30749,229.187,249.677,8.2,65
5,May,2012,34555,228.713,241.806,8.2,95
6,Jun,2012,33566,228.524,235.897,8.2,54
7,Jul,2012,28972,228.59,233.568,8.2,57
8,Aug,2012,38295,229.918,244.987,8.1,148
9,Sep,2012,36425,231.015,252.987,7.8,144
10,Oct,2012,38739,231.638,256.017,7.8,146
11,Nov,2012,30674,231.249,248.819,7.7,131
12,Dec,2012,50699,231.221,244.708,7.9,135
1,Jan,2013,35445,231.679,245.025,8,135
2,Feb,2013,41643,232.937,255.696,7.7,114
3,Mar,2013,39561,232.282,246.595,7.5,92
4,Apr,2013,39395,231.797,240.473,7.6,103
5,May,2013,43283,231.893,240.468,7.5,132
6,Jun,2013,43259,232.445,242.711,7.5,82
7,Jul,2013,42080,232.9,242.986,7.3,63
8,Aug,2013,43603,233.456,244.833,7.2,138
9,Sep,2013,32506,233.544,242.745,7.2,61
10,Oct,2013,42660,233.669,241.954,7.2,94
11,Nov,2013,34386,234.1,242.718,6.9,62
12,Dec,2013,42593,234.719,245.733,6.7,114
